IdentityCard_Num,PredictVote
248,Yellows
249,Violets
250,Yellows
251,Yellows
252,Yellows
253,Oranges
254,Yellows
255,Oranges
256,Whites
257,Yellows
258,Yellows
259,Blues
260,Pinks
261,Yellows
262,Yellows
263,Yellows
264,Turquoises
266,Whites
267,Whites
268,Pinks
269,Yellows
270,Pinks
271,Yellows
272,Yellows
273,Yellows
274,Yellows
275,Khakis
276,Khakis
277,Pinks
278,Greens
279,Khakis
280,Yellows
281,Greens
282,Yellows
283,Khakis
284,Pinks
285,Browns
286,Yellows
287,Whites
288,Yellows
289,Greens
290,Pinks
291,Yellows
292,Yellows
293,Pinks
294,Yellows
295,Yellows
296,Pinks
297,Pinks
298,Yellows
299,Oranges
300,Yellows
301,Yellows
302,Whites
303,Pinks
304,Pinks
305,Yellows
306,Yellows
307,Pinks
308,Purples
309,Yellows
310,Pinks
311,Yellows
312,Oranges
313,Yellows
314,Yellows
315,Blues
316,Khakis
317,Yellows
318,Browns
319,Pinks
320,Browns
321,Yellows
322,Oranges
323,Yellows
324,Yellows
325,Whites
326,Pinks
327,Pinks
328,Pinks
329,Purples
330,Yellows
331,Pinks
332,Pinks
333,Yellows
334,Yellows
336,Yellows
337,Yellows
338,Yellows
339,Pinks
340,Yellows
341,Whites
342,Yellows
343,Pinks
344,Browns
345,Pinks
346,Khakis
347,Yellows
348,Yellows
349,Khakis
350,Turquoises
351,Turquoises
352,Yellows
353,Greens
354,Yellows
355,Khakis
356,Yellows
357,Khakis
358,Pinks
359,Yellows
360,Purples
361,Greens
362,Browns
363,Pinks
364,Khakis
365,Yellows
366,Greens
367,Browns
368,Whites
369,Pinks
370,Yellows
371,Pinks
372,Pinks
373,Yellows
374,Yellows
375,Khakis
376,Greens
377,Oranges
378,Yellows
379,Pinks
380,Violets
381,Blues
382,Pinks
383,Browns
384,Pinks
385,Yellows
386,Khakis
387,Yellows
388,Yellows
389,Blues
390,Pinks
391,Blues
392,Greens
393,Browns
394,Pinks
395,Yellows
396,Pinks
397,Blues
398,Yellows
399,Whites
400,Purples
401,Pinks
402,Yellows
403,Pinks
404,Whites
405,Pinks
406,Pinks
407,Khakis
408,Pinks
409,Greens
410,Pinks
411,Purples
412,Pinks
413,Blues
414,Khakis
415,Yellows
416,Yellows
417,Yellows
418,Yellows
419,Yellows
420,Blues
421,Yellows
422,Yellows
423,Pinks
424,Yellows
425,Pinks
426,Yellows
427,Yellows
428,Whites
429,Pinks
430,Yellows
431,Blues
432,Oranges
433,Purples
434,Pinks
435,Pinks
436,Turquoises
437,Blues
438,Pinks
439,Pinks
440,Yellows
441,Pinks
442,Pinks
443,Greens
444,Yellows
445,Yellows
446,Turquoises
447,Whites
448,Pinks
449,Turquoises
450,Yellows
451,Greens
452,Greens
453,Yellows
454,Whites
455,Yellows
456,Greens
457,Yellows
458,Pinks
459,Khakis
460,Blues
461,Blues
462,Yellows
463,Oranges
464,Pinks
465,Yellows
466,Pinks
467,Purples
468,Yellows
469,Purples
470,Yellows
471,Yellows
472,Khakis
473,Yellows
474,Yellows
475,Yellows
476,Pinks
477,Pinks
478,Purples
479,Turquoises
480,Greens
481,Whites
482,Violets
483,Pinks
485,Yellows
486,Pinks
487,Greens
488,Oranges
489,Purples
490,Yellows
491,Yellows
492,Pinks
493,Oranges
494,Whites
495,Yellows
496,Purples
497,Whites
498,Yellows
499,Yellows
500,Browns
501,Pinks
502,Yellows
503,Violets
504,Pinks
505,Yellows
506,Blues
507,Pinks
508,Pinks
509,Yellows
510,Pinks
511,Yellows
512,Whites
513,Yellows
514,Yellows
515,Pinks
516,Blues
517,Yellows
518,Purples
519,Browns
520,Yellows
521,Pinks
522,Blues
523,Yellows
524,Khakis
525,Yellows
526,Pinks
527,Yellows
528,Blues
529,Pinks
530,Khakis
531,Pinks
532,Yellows
533,Yellows
534,Yellows
535,Yellows
536,Blues
537,Yellows
538,Yellows
539,Blues
540,Yellows
541,Pinks
542,Pinks
543,Pinks
544,Yellows
545,Pinks
546,Yellows
547,Greens
548,Yellows
549,Yellows
550,Blues
551,Yellows
552,Greens
553,Pinks
554,Whites
555,Yellows
556,Yellows
557,Yellows
558,Pinks
559,Yellows
560,Browns
561,Browns
562,Yellows
563,Yellows
564,Yellows
565,Pinks
566,Khakis
567,Yellows
568,Yellows
569,Turquoises
570,Yellows
571,Yellows
572,Greens
573,Yellows
574,Pinks
575,Khakis
576,Yellows
577,Yellows
578,Yellows
580,Whites
581,Pinks
582,Yellows
583,Pinks
584,Greens
585,Yellows
586,Yellows
587,Blues
588,Yellows
589,Khakis
590,Yellows
591,Yellows
592,Turquoises
594,Pinks
595,Pinks
596,Yellows
597,Pinks
598,Yellows
599,Yellows
600,Purples
601,Khakis
602,Pinks
603,Pinks
604,Yellows
605,Oranges
606,Oranges
607,Blues
608,Whites
609,Yellows
610,Greens
611,Yellows
612,Khakis
613,Pinks
614,Greens
615,Whites
616,Pinks
617,Yellows
618,Yellows
619,Pinks
620,Yellows
621,Yellows
622,Pinks
623,Yellows
624,Whites
625,Oranges
626,Yellows
627,Yellows
628,Pinks
629,Yellows
630,Yellows
631,Yellows
632,Yellows
633,Yellows
634,Oranges
635,Pinks
636,Yellows
637,Yellows
638,Pinks
639,Yellows
640,Blues
641,Yellows
642,Blues
643,Yellows
644,Yellows
645,Yellows
646,Yellows
648,Turquoises
649,Greens
650,Yellows
651,Turquoises
652,Oranges
653,Yellows
654,Khakis
655,Yellows
656,Yellows
657,Khakis
658,Blues
659,Yellows
660,Yellows
661,Pinks
662,Whites
663,Pinks
664,Greens
665,Yellows
666,Pinks
667,Khakis
668,Pinks
669,Yellows
670,Yellows
671,Yellows
672,Yellows
673,Greens
674,Yellows
675,Yellows
676,Yellows
677,Blues
678,Yellows
679,Purples
680,Greens
681,Pinks
682,Purples
683,Pinks
684,Pinks
685,Greens
686,Pinks
687,Greens
688,Pinks
689,Yellows
690,Khakis
691,Pinks
692,Greens
693,Greens
694,Pinks
695,Yellows
697,Pinks
698,Yellows
699,Browns
700,Browns
701,Yellows
702,Yellows
703,Pinks
704,Turquoises
705,Khakis
706,Pinks
707,Yellows
708,Yellows
709,Yellows
710,Pinks
711,Whites
712,Yellows
713,Yellows
714,Yellows
715,Pinks
716,Yellows
717,Yellows
718,Pinks
719,Oranges
720,Oranges
721,Yellows
722,Greens
723,Pinks
724,Yellows
725,Purples
726,Purples
727,Yellows
728,Yellows
729,Yellows
730,Yellows
731,Yellows
732,Pinks
733,Blues
734,Yellows
735,Yellows
736,Yellows
737,Pinks
738,Pinks
739,Yellows
740,Yellows
741,Pinks
742,Turquoises
743,Yellows
744,Greens
745,Yellows
746,Pinks
748,Yellows
749,Yellows
750,Pinks
751,Greens
752,Oranges
753,Yellows
754,Yellows
755,Pinks
756,Yellows
757,Pinks
758,Greens
759,Yellows
760,Yellows
762,Greens
763,Yellows
764,Pinks
765,Oranges
766,Pinks
767,Pinks
768,Greens
769,Yellows
770,Turquoises
771,Yellows
772,Yellows
773,Yellows
774,Yellows
775,Pinks
776,Greens
777,Greens
778,Greens
779,Yellows
780,Yellows
781,Blues
782,Khakis
783,Pinks
784,Yellows
785,Greens
786,Pinks
787,Pinks
788,Yellows
789,Pinks
790,Greens
791,Pinks
792,Yellows
793,Yellows
794,Yellows
795,Yellows
796,Yellows
797,Whites
798,Pinks
799,Violets
800,Whites
801,Purples
802,Greens
803,Pinks
804,Yellows
805,Turquoises
806,Yellows
807,Khakis
809,Greens
810,Pinks
811,Pinks
812,Purples
813,Yellows
814,Yellows
815,Yellows
816,Pinks
817,Pinks
818,Yellows
819,Browns
820,Pinks
821,Pinks
822,Pinks
823,Browns
824,Greens
825,Yellows
826,Yellows
827,Turquoises
828,Yellows
829,Yellows
830,Yellows
831,Yellows
832,Yellows
833,Purples
834,Pinks
835,Pinks
836,Yellows
837,Pinks
838,Yellows
839,Oranges
840,Violets
841,Greens
842,Pinks
843,Greens
844,Yellows
845,Turquoises
846,Yellows
847,Yellows
848,Yellows
849,Pinks
850,Whites
851,Yellows
852,Yellows
853,Yellows
854,Yellows
855,Yellows
857,Yellows
858,Pinks
859,Pinks
860,Khakis
861,Pinks
862,Yellows
863,Yellows
864,Pinks
865,Greens
866,Pinks
867,Greens
868,Yellows
869,Oranges
870,Browns
871,Pinks
872,Yellows
873,Yellows
874,Pinks
875,Pinks
876,Yellows
877,Pinks
878,Yellows
879,Yellows
880,Yellows
881,Pinks
882,Pinks
883,Yellows
884,Pinks
885,Yellows
886,Yellows
887,Yellows
888,Yellows
889,Pinks
890,Browns
891,Pinks
892,Pinks
893,Khakis
894,Yellows
895,Greens
896,Pinks
897,Yellows
898,Pinks
899,Whites
900,Yellows
901,Yellows
902,Yellows
903,Yellows
904,Oranges
905,Yellows
906,Greens
907,Pinks
908,Yellows
909,Yellows
910,Purples
911,Greens
912,Yellows
913,Browns
914,Yellows
915,Purples
916,Pinks
917,Pinks
918,Oranges
921,Yellows
922,Yellows
923,Yellows
924,Yellows
925,Yellows
926,Pinks
927,Yellows
928,Blues
929,Blues
930,Pinks
931,Browns
932,Yellows
933,Pinks
934,Khakis
935,Yellows
936,Yellows
937,Yellows
938,Yellows
939,Yellows
940,Khakis
941,Oranges
942,Yellows
943,Oranges
944,Yellows
945,Yellows
946,Yellows
947,Yellows
948,Yellows
949,Browns
950,Yellows
951,Khakis
952,Violets
953,Khakis
954,Greens
955,Greens
956,Yellows
957,Purples
958,Pinks
959,Pinks
960,Yellows
961,Oranges
962,Yellows
963,Yellows
964,Pinks
965,Blues
966,Yellows
967,Yellows
968,Yellows
969,Yellows
970,Yellows
971,Greens
972,Greens
973,Yellows
974,Pinks
975,Blues
976,Whites
977,Pinks
978,Yellows
979,Yellows
980,Pinks
981,Yellows
982,Yellows
983,Yellows
984,Yellows
985,Khakis
986,Pinks
987,Yellows
988,Blues
989,Greens
990,Yellows
991,Pinks
992,Pinks
993,Yellows
994,Pinks
995,Whites
996,Browns
997,Oranges
998,Greens
999,Yellows
1000,Pinks
1001,Pinks
1002,Yellows
1003,Khakis
1004,Yellows
1005,Yellows
1006,Pinks
1007,Purples
1008,Whites
1009,Purples
1010,Whites
1011,Greens
1012,Pinks
1013,Yellows
1014,Greens
1015,Pinks
1016,Yellows
1017,Blues
1018,Yellows
1019,Pinks
1020,Oranges
1021,Pinks
1022,Pinks
1023,Yellows
1024,Yellows
1025,Khakis
1026,Yellows
1027,Yellows
1028,Pinks
1029,Yellows
1030,Oranges
1031,Greens
1032,Whites
1033,Yellows
1034,Yellows
1035,Pinks
1036,Yellows
1037,Turquoises
1038,Greens
1039,Pinks
1040,Purples
1041,Whites
1042,Pinks
1043,Pinks
1044,Greens
1045,Yellows
1046,Yellows
1047,Greens
1048,Blues
1049,Yellows
1050,Yellows
1051,Turquoises
1052,Yellows
1053,Yellows
1054,Yellows
1055,Blues
1056,Turquoises
1057,Pinks
1058,Pinks
1059,Greens
1060,Greens
1061,Greens
1062,Yellows
1063,Pinks
1064,Yellows
1065,Pinks
1066,Browns
1067,Pinks
1068,Yellows
1069,Pinks
1070,Yellows
1071,Yellows
1072,Yellows
1073,Yellows
1074,Yellows
1075,Blues
1076,Yellows
1077,Yellows
1078,Yellows
1079,Pinks
1080,Greens
1081,Pinks
1082,Yellows
1083,Turquoises
1084,Khakis
1085,Khakis
1086,Yellows
1087,Yellows
1088,Yellows
1089,Greens
1090,Yellows
1091,Blues
1092,Pinks
1093,Whites
1094,Khakis
1095,Pinks
1096,Pinks
1097,Yellows
1098,Greens
1099,Yellows
1100,Yellows
1101,Yellows
1102,Oranges
1104,Yellows
1105,Yellows
1106,Yellows
1107,Khakis
1108,Browns
1109,Pinks
1110,Yellows
1111,Pinks
1112,Yellows
1113,Oranges
1114,Yellows
1115,Oranges
1116,Khakis
1117,Pinks
1118,Oranges
1119,Blues
1120,Browns
1121,Pinks
1122,Pinks
1123,Khakis
1124,Yellows
1126,Yellows
1127,Purples
1129,Pinks
1130,Yellows
1131,Yellows
1132,Pinks
1133,Pinks
1134,Yellows
1135,Browns
1136,Yellows
1137,Greens
1138,Pinks
1139,Yellows
1140,Purples
1141,Yellows
1142,Pinks
1143,Yellows
1144,Pinks
1145,Pinks
1146,Yellows
1147,Yellows
1148,Yellows
1149,Pinks
1150,Purples
1151,Oranges
1152,Pinks
1154,Yellows
1155,Yellows
1156,Yellows
1157,Pinks
1158,Yellows
1159,Yellows
1160,Pinks
1161,Blues
1162,Yellows
1163,Yellows
1164,Purples
1165,Khakis
1166,Browns
1167,Oranges
1168,Yellows
1169,Yellows
1170,Turquoises
1171,Greens
1172,Pinks
1173,Pinks
1174,Purples
1175,Yellows
1176,Yellows
1177,Yellows
1178,Pinks
1179,Oranges
1180,Whites
1181,Whites
1182,Turquoises
1183,Yellows
1184,Khakis
1185,Yellows
1186,Pinks
1187,Yellows
1188,Blues
1189,Yellows
1190,Pinks
1191,Pinks
1192,Browns
1193,Khakis
1194,Yellows
1195,Pinks
1196,Pinks
1197,Yellows
1198,Yellows
1199,Blues
1200,Whites
1201,Yellows
1202,Yellows
1203,Khakis
1204,Khakis
1205,Pinks
1206,Yellows
1207,Greens
1208,Yellows
1209,Pinks
1210,Yellows
1211,Purples
1212,Yellows
1213,Blues
1214,Greens
1215,Pinks
1216,Yellows
1217,Browns
1218,Oranges
1219,Yellows
1220,Pinks
1221,Yellows
1222,Oranges
1223,Yellows
1224,Yellows
1225,Pinks
1226,Yellows
1227,Yellows
1228,Yellows
1229,Yellows
1230,Yellows
1231,Yellows
1232,Yellows
1233,Pinks
1234,Yellows
1235,Yellows
1236,Yellows
1237,Pinks
1238,Yellows
1239,Yellows
1240,Purples
1241,Yellows
1242,Yellows
1243,Yellows
1244,Browns
1245,Browns
1246,Oranges
1247,Greens
1248,Whites
1249,Yellows
1250,Pinks
1251,Purples
1252,Blues
1253,Khakis
1254,Pinks
1255,Greens
1256,Khakis
1257,Yellows
1258,Pinks
1259,Pinks
1260,Yellows
1261,Yellows
1262,Pinks
1263,Yellows
1264,Yellows
1265,Yellows
1266,Yellows
1267,Yellows
1268,Oranges
1269,Pinks
1270,Khakis
1271,Whites
1272,Yellows
1273,Khakis
1274,Whites
1275,Blues
1276,Pinks
1277,Purples
1278,Yellows
1279,Blues
1280,Khakis
1281,Khakis
1282,Yellows
1283,Khakis
1284,Pinks
1285,Whites
1286,Blues
1287,Greens
1288,Yellows
1289,Yellows
1290,Yellows
1292,Yellows
1293,Yellows
1294,Yellows
1295,Yellows
1296,Yellows
1298,Yellows
1299,Whites
1300,Yellows
1301,Browns
1302,Yellows
1303,Yellows
1305,Yellows
1306,Yellows
1307,Whites
1308,Yellows
1309,Yellows
1310,Purples
1311,Yellows
1312,Pinks
1313,Yellows
1314,Greens
1316,Turquoises
1317,Pinks
1318,Yellows
1319,Pinks
1320,Yellows
1321,Violets
1322,Browns
1323,Pinks
1324,Yellows
1325,Greens
1326,Turquoises
1327,Pinks
1328,Pinks
1329,Khakis
1330,Yellows
1331,Purples
1332,Khakis
1333,Yellows
1334,Whites
1335,Blues
1336,Pinks
1337,Yellows
1338,Pinks
1339,Yellows
1340,Whites
1341,Yellows
1342,Yellows
1343,Yellows
1344,Greens
1345,Yellows
1346,Yellows
1348,Pinks
1349,Yellows
1350,Khakis
1351,Pinks
1352,Whites
1353,Oranges
1354,Khakis
1355,Khakis
1356,Yellows
1357,Yellows
1358,Whites
1359,Yellows
1360,Yellows
1361,Khakis
1362,Pinks
1363,Yellows
1364,Purples
1365,Khakis
1366,Yellows
1367,Greens
1368,Blues
1369,Pinks
1370,Pinks
1371,Yellows
1372,Yellows
1373,Oranges
1374,Whites
1375,Browns
1376,Purples
1377,Browns
1378,Yellows
1379,Yellows
1380,Pinks
1381,Khakis
1382,Pinks
1383,Greens
1384,Whites
1385,Yellows
1386,Purples
1387,Purples
1388,Khakis
1389,Yellows
1390,Yellows
1391,Yellows
1392,Pinks
1393,Yellows
1394,Browns
1395,Pinks
1396,Pinks
1397,Pinks
1398,Pinks
1399,Pinks
1400,Pinks
1401,Yellows
1402,Browns
1403,Purples
1404,Yellows
1405,Yellows
1406,Greens
1407,Whites
1408,Pinks
1409,Yellows
1410,Blues
1411,Yellows
1412,Yellows
1413,Yellows
1414,Purples
1415,Yellows
1416,Oranges
1417,Pinks
1418,Yellows
1419,Greens
1420,Yellows
1421,Greens
1423,Pinks
1424,Yellows
1425,Greens
1426,Yellows
1427,Browns
1428,Pinks
1429,Oranges
1430,Greens
1431,Pinks
1432,Browns
1433,Pinks
1434,Pinks
1435,Whites
1436,Yellows
1437,Greens
1438,Whites
1439,Yellows
1440,Browns
1441,Pinks
1442,Yellows
1443,Khakis
1444,Pinks
1445,Yellows
1446,Yellows
1447,Browns
1448,Yellows
1449,Whites
1450,Yellows
1451,Blues
1452,Browns
1453,Yellows
1454,Pinks
1455,Yellows
1456,Yellows
1457,Yellows
1458,Blues
1459,Pinks
1460,Yellows
1461,Pinks
1462,Pinks
1463,Whites
1464,Pinks
1465,Turquoises
1466,Khakis
1467,Yellows
1468,Turquoises
1469,Yellows
1470,Yellows
1471,Yellows
1472,Turquoises
1473,Yellows
1474,Yellows
1475,Yellows
1476,Yellows
1477,Purples
1478,Pinks
1479,Pinks
1480,Yellows
1481,Yellows
1482,Pinks
1483,Turquoises
1484,Yellows
1485,Blues
1486,Blues
1487,Yellows
1488,Blues
1489,Yellows
1490,Yellows
1491,Oranges
1492,Yellows
1493,Whites
1494,Yellows
1495,Oranges
1496,Yellows
1497,Yellows
1498,Yellows
1499,Pinks
1500,Greens
1501,Pinks
1502,Browns
1503,Yellows
1504,Yellows
1505,Greens
1506,Yellows
1507,Pinks
1508,Yellows
1509,Blues
1510,Yellows
1511,Violets
1512,Khakis
1513,Yellows
1514,Pinks
1515,Purples
1516,Oranges
1517,Browns
1518,Turquoises
1519,Yellows
1520,Blues
1521,Khakis
1522,Khakis
1523,Whites
1524,Yellows
1525,Blues
1526,Yellows
1528,Yellows
1529,Yellows
1530,Pinks
1531,Khakis
1532,Yellows
1533,Pinks
1534,Khakis
1535,Yellows
1536,Blues
1537,Oranges
1538,Pinks
1539,Khakis
1540,Pinks
1541,Blues
1542,Greens
1543,Oranges
1544,Yellows
1545,Yellows
1546,Yellows
1547,Pinks
1548,Yellows
1549,Pinks
1550,Blues
1551,Oranges
1552,Blues
1554,Pinks
1555,Yellows
1556,Pinks
1557,Yellows
1558,Browns
1559,Yellows
1560,Greens
1561,Turquoises
1562,Whites
1563,Purples
1564,Khakis
1565,Yellows
1566,Yellows
1567,Pinks
1568,Yellows
1569,Pinks
1570,Pinks
1571,Yellows
1572,Yellows
1573,Whites
1574,Khakis
1575,Pinks
1576,Pinks
1577,Yellows
1578,Khakis
1579,Pinks
1580,Oranges
1581,Turquoises
1582,Yellows
1583,Purples
1584,Yellows
1585,Pinks
1586,Yellows
1587,Oranges
1588,Yellows
1589,Oranges
1590,Greens
1591,Blues
1592,Yellows
1593,Yellows
1594,Yellows
1595,Browns
1596,Pinks
1597,Oranges
1598,Yellows
1599,Yellows
1600,Yellows
1601,Yellows
1602,Khakis
1603,Pinks
1604,Yellows
1605,Pinks
1606,Yellows
1607,Purples
1608,Yellows
1609,Yellows
1610,Yellows
1611,Oranges
1612,Oranges
1613,Pinks
1614,Blues
1615,Greens
1616,Yellows
1617,Browns
1618,Yellows
1619,Yellows
1620,Browns
1621,Blues
1622,Pinks
1623,Yellows
1624,Yellows
1625,Yellows
1626,Purples
1627,Greens
1628,Browns
1629,Purples
1630,Browns
1631,Oranges
1632,Yellows
1633,Yellows
1634,Yellows
1635,Pinks
1636,Greens
1637,Oranges
1638,Yellows
1639,Greens
1640,Yellows
1641,Purples
1642,Yellows
1643,Yellows
1644,Yellows
1645,Pinks
1646,Yellows
1647,Pinks
1648,Yellows
1649,Pinks
1650,Pinks
1651,Greens
1652,Khakis
1653,Yellows
1654,Yellows
1655,Khakis
1656,Pinks
1657,Pinks
1658,Khakis
1659,Purples
1660,Yellows
1661,Yellows
1662,Yellows
1663,Turquoises
1664,Khakis
1665,Yellows
1666,Yellows
1667,Khakis
1669,Whites
1670,Khakis
1671,Yellows
1672,Yellows
1673,Oranges
1674,Yellows
1675,Yellows
1676,Pinks
1677,Pinks
1678,Yellows
1679,Pinks
1680,Oranges
1681,Greens
1682,Yellows
1683,Greens
1684,Pinks
1685,Browns
1686,Pinks
1687,Yellows
1688,Pinks
1689,Pinks
1690,Yellows
1691,Blues
1692,Yellows
1693,Yellows
1694,Yellows
1695,Pinks
1696,Greens
1697,Whites
1698,Khakis
1699,Yellows
1700,Yellows
1701,Pinks
1702,Yellows
1703,Yellows
1704,Browns
1705,Yellows
1706,Oranges
1707,Yellows
1708,Whites
1709,Pinks
1710,Yellows
1711,Pinks
1712,Khakis
1713,Pinks
1714,Blues
1715,Oranges
1717,Pinks
1718,Yellows
1719,Turquoises
1720,Yellows
1721,Pinks
1722,Violets
1723,Yellows
1724,Yellows
1725,Pinks
1726,Khakis
1727,Pinks
1728,Pinks
1729,Pinks
1730,Yellows
1731,Pinks
1732,Greens
1733,Yellows
1734,Yellows
1735,Pinks
1736,Pinks
1737,Yellows
1738,Yellows
1739,Yellows
1741,Yellows
1742,Turquoises
1743,Whites
1744,Purples
1745,Khakis
1746,Blues
1747,Yellows
1748,Yellows
1749,Yellows
1750,Purples
1751,Blues
1752,Oranges
1753,Pinks
1754,Blues
1755,Yellows
1756,Pinks
1757,Whites
1758,Yellows
1759,Yellows
1760,Yellows
1761,Yellows
1762,Yellows
1763,Pinks
1764,Yellows
1765,Yellows
1766,Pinks
1767,Pinks
1768,Whites
1769,Browns
1770,Pinks
1771,Yellows
1772,Greens
1773,Yellows
1774,Whites
1775,Yellows
1776,Yellows
1777,Pinks
1778,Yellows
1779,Yellows
1780,Greens
1781,Browns
1782,Yellows
1783,Whites
1784,Yellows
1785,Greens
1786,Yellows
1787,Pinks
1788,Yellows
1789,Greens
1790,Greens
1791,Greens
1792,Pinks
1793,Pinks
1794,Pinks
1795,Yellows
1796,Greens
1797,Pinks
1798,Yellows
1799,Yellows
1800,Yellows
1801,Yellows
1802,Yellows
1803,Yellows
1804,Purples
1805,Pinks
1806,Pinks
1807,Yellows
1808,Blues
1809,Oranges
1810,Yellows
1811,Browns
1812,Yellows
1813,Blues
1814,Pinks
1815,Greens
1816,Yellows
1817,Greens
1818,Pinks
1819,Greens
1820,Yellows
1821,Yellows
1822,Yellows
1823,Whites
1824,Pinks
1825,Pinks
1826,Greens
1827,Khakis
1828,Whites
1829,Whites
1830,Pinks
1831,Purples
1832,Pinks
1833,Khakis
1834,Whites
1835,Yellows
1836,Greens
1837,Blues
1838,Yellows
1839,Greens
1840,Pinks
1841,Blues
1842,Oranges
1843,Yellows
1844,Yellows
1845,Yellows
1846,Browns
1847,Yellows
1848,Oranges
1849,Greens
1850,Yellows
1851,Yellows
1852,Pinks
1853,Pinks
1854,Purples
1855,Greens
1856,Yellows
1857,Pinks
1858,Yellows
1859,Whites
1860,Khakis
1861,Yellows
1862,Yellows
1863,Pinks
1864,Yellows
1865,Browns
1866,Yellows
1867,Pinks
1868,Turquoises
1869,Yellows
1870,Pinks
1871,Browns
1872,Yellows
1873,Pinks
1874,Yellows
1875,Pinks
1876,Yellows
1877,Greens
1878,Purples
1879,Yellows
1880,Pinks
1881,Greens
1882,Yellows
1883,Oranges
1884,Yellows
1885,Pinks
1886,Pinks
1887,Yellows
1888,Yellows
1889,Blues
1890,Pinks
1891,Greens
1892,Pinks
1893,Blues
1894,Turquoises
1895,Purples
1896,Whites
1897,Yellows
1898,Pinks
1899,Yellows
1900,Pinks
1901,Khakis
1902,Pinks
1903,Yellows
1904,Greens
1905,Browns
1906,Yellows
1907,Yellows
1908,Pinks
1909,Yellows
1910,Pinks
1911,Khakis
1912,Khakis
1913,Blues
1914,Yellows
1915,Yellows
1916,Whites
1917,Pinks
1918,Yellows
1919,Yellows
1921,Browns
1922,Yellows
1923,Yellows
1924,Yellows
1925,Oranges
1926,Turquoises
1927,Purples
1928,Yellows
1929,Pinks
1930,Pinks
1931,Yellows
1932,Yellows
1933,Khakis
1934,Yellows
1935,Yellows
1936,Pinks
1937,Yellows
1938,Greens
1939,Pinks
1940,Yellows
1941,Yellows
1942,Pinks
1943,Purples
1945,Pinks
1946,Greens
1947,Yellows
1948,Greens
1949,Yellows
1950,Greens
1951,Pinks
1952,Greens
1953,Yellows
1954,Yellows
1955,Yellows
1956,Yellows
