Vote,Occupation_Satisfaction,Avg_monthly_expense_when_under_age_21,AVG_lottary_expanses,Most_Important_Issue,Avg_monthly_expense_on_pets_or_plants,Looking_at_poles_results,Avg_environmental_importance,Married,Gender,Voting_Time,Financial_balance_score_(0-1),%Of_Household_Income,Yearly_IncomeK,Overall_happiness_score,Garden_sqr_meter_per_person_in_residancy_area,Avg_Residancy_Altitude,Yearly_ExpensesK,%Time_invested_in_work,Avg_government_satisfaction,Avg_Satisfaction_with_previous_vote,Avg_monthly_household_cost,Will_vote_only_large_party,Phone_minutes_10_years,Avg_size_per_room,Weighted_education_rank,%_satisfaction_financial_policy,Avg_monthly_income_all_years,Last_school_grades,Age_group,Number_of_differnt_parties_voted_for,Political_interest_Total_Score,Number_of_valued_Kneset_members,Main_transportation,Occupation,Avg_education_importance,Num_of_kids_born_last_10_years,Financial_agenda_matters
Whites,7.0,295.377885035186,31830.5681130017,Social,98.45929501172871,No,323.286573494254,Yes,Male,After_16:00,0.5460800570435821,0.754755870206282,782.850659685209,8.120769970119,79.29721798282121,5.609,4391.0,85.6554892379791,338.161496504015,3909.18872795057,45129.280869826296,Yes,104514.20860165599,18.3891679122253,244.184868520721,60.835890006274006,9802.69206921836,70.0,30-45,3.0,610.162904205274,8.0,Foot_or_bicycle,Services_or_Retail,546.977800004471,1.0,Yes
Purples,2.0,371.61360976862,51633.7744737409,Education,123.87120325620701,Yes,416.83436599017404,Yes,Male,After_16:00,0.0524090132676065,0.919550974387676,185.35479833371897,4.432860373053701,44.138832576572895,5.638999999999999,4361.0,87.1355614857748,438.558210046231,5045.4600799942,54606.518865936,No,173750.88867043,20.9417814439515,111.115311690172,11.6223852615803,15477.9461993967,100.0,30-45,0.0,706.7266482581149,14.0,Public_or_other,Hightech,540.681645234979,0.0,No
Khakis,3.0,457.510432254106,124259.551790467,Social,152.503477418035,No,814.798153420807,No,Male,After_16:00,0.24874107982032,0.16093261889182,420.277709839866,1.24316749162972,5.95336202532053,7.692,8308.0,29.179127374663896,795.723301591352,9739.42813739077,99519.54398286481,Maybe,663896.030817957,28.2085678755826,628.779636867335,45.4098162008449,23419.8141020112,,30-45,2.0,1276.11146606566,12.0,Public_or_other,Student_or_Unemployed,956.961358582735,2.0,No
Oranges,3.0,155.21897954514,16214.0326181926,Military,51.7396598483801,No,313.37725577838904,Yes,Male,By_16:00,0.88729385798797,0.9627434592694041,569.697317900136,9.440975601319222,72.99959098454559,5.89,6110.0,33.2585389027372,546.830397237253,4227.43335225839,61954.376173293895,Yes,98205.3044391938,23.3844050007105,201.553729745965,25.827570841647702,2738.73206107445,30.0,30-45,0.0,803.49662757139,5.0,Public_or_other,Public_Sector,560.023088960046,0.0,No
Khakis,3.0,313.290933665806,4452.46690307004,Healthcare,104.430311221935,Yes,42.635771654531005,,Female,By_16:00,0.6416475500445811,0.116890081670135,539.882698096335,4.1812796751037205,1.25634637661278,9.158999999999999,6841.0,82.53027419559659,164.364555152133,755.0868268495759,15964.534213638,No,1817.80902457731,12.820474061131,699.428995473638,1.36601482518017,11020.120213132199,80.0,Below_30,2.0,197.638669918466,12.0,Motorcycle_or_truck,Services_or_Retail,90.8939862321863,0.0,No
Khakis,8.0,431.97682023930804,141399.814477279,Healthcare,143.99227341310302,Yes,981.995846899465,No,Male,By_16:00,0.255334807792678,0.320027360226959,336.23025030829,3.16996754612774,82.36859138123691,10.592,5408.0,62.270472035743296,542.2118948772551,10904.3822587492,79875.6770765234,No,964315.843327797,23.285443841105,603.721151007407,44.52562695369121,20887.7670760868,80.0,45_and_up,3.0,1016.7293354936501,12.0,Car,Services_or_Retail,,0.0,No
Purples,10.0,173.78064325801202,26509.5518870714,Financial,57.926881086003895,Yes,457.63817057080496,Yes,Male,After_16:00,0.25974009325727804,0.8921051961369809,8.31919815391302,2.76568895438686,31.8987257545814,6.585,3415.0,98.3878301922232,395.76969315128997,5367.92109201064,51634.9504821947,Maybe,209432.69516339398,19.8939612232278,116.480485761939,12.3549854382873,3423.4504334380395,60.0,30-45,4.0,667.033195901672,8.0,Foot_or_bicycle,Public_Sector,530.1533100168609,3.0,No
Purples,6.0,80.255476418931,11672.5153811194,Education,26.751825472977,No,436.325939435806,Yes,Male,After_16:00,0.684718900825828,0.37880256911739707,147.924940101802,9.54867520136759,42.0542928855866,3.516,6484.0,92.3889827216044,365.37609008787,5094.0115745338,47800.3300277965,No,190380.325424538,19.1148133678535,149.68630758746,81.0723413480446,752.411991609598,100.0,Below_30,,614.9211152478421,16.0,Motorcycle_or_truck,Public_Sector,484.90008045035796,2.0,No
Khakis,1.0,308.094840009262,67113.0715099571,Environment,102.698280003087,Yes,653.497522139022,No,Female,By_16:00,0.759034960065037,0.484398653963581,328.535486245528,4.27993072895333,91.47553297225392,9.714,6286.0,39.098909101448996,592.611249419861,7720.19772022994,73769.6357118359,Maybe,427059.011441841,24.3436079786843,242.362598455831,45.837568351998904,10659.634995595601,90.0,45_and_up,3.0,930.24939586316,13.0,Motorcycle_or_truck,Industry_or_other,663.099038342767,2.0,Yes
Pinks,3.0,337.28765545663896,82602.3423777433,Education,112.429218485546,Yes,734.705297167592,No,Female,By_16:00,0.35263548535294803,0.42076327675022207,48.2201976701617,7.562778703868389,82.9151317011565,2.0669999999999997,7933.0,16.8160016415641,639.4626038367051,8625.97817934933,74263.07707891549,Maybe,539791.87368612,25.2875978265375,275.705211808657,51.2287990422919,12762.758387756201,100.0,Below_30,3.0,879.771193172621,9.0,Foot_or_bicycle,Services_or_Retail,461.568640005654,0.0,No
Oranges,4.0,280.783987900706,34310.6215748401,Other,93.5946626335687,No,366.58737378187004,Yes,Male,After_16:00,0.940457612741739,0.773931929608807,468.768829479814,4.26694850903004,67.2525431960821,2.128,9872.0,48.4520420897752,490.87311547373,4647.61996876616,61352.0635598517,No,134386.302616289,22.1556565119098,231.638330045925,15.215996769256899,8863.5555361251,50.0,30-45,2.0,823.0147362537069,11.0,Car,Industry_or_other,689.140389898325,0.0,Yes
Violets,1.0,628.513470868001,48736.963224349696,Education,209.504490289334,Yes,232.62968329242997,Yes,Female,After_16:00,0.705876299878582,0.197698125615716,927.3903127759698,0.7811535825021559,44.92333175148811,9.443,6557.0,38.3135616546497,167.088266155655,2660.47336523561,25689.7719521419,Yes,54116.5695487363,12.9262626522772,448.174488136329,79.612030973658,44111.6359416829,100.0,45_and_up,6.0,355.555582732772,16.0,Foot_or_bicycle,Services_or_Retail,363.826349726878,0.0,No
Purples,3.0,219.42915783969602,28984.987209697203,Education,73.14305261323179,No,396.278062975645,Yes,Male,By_16:00,0.0710384044796228,0.588985894108191,2.1744947880506498,0.992143447510898,34.3340892344713,6.22,3780.0,46.9263105653226,413.546368644511,4789.87336704547,50105.7197467349,Yes,157036.303195729,20.335839511672802,144.988845710118,84.2857606476173,5433.049198195229,100.0,Below_30,0.0,635.41265078606,13.0,Motorcycle_or_truck,Hightech,447.18622541687205,0.0,No
Yellows,10.0,-40.9783436588366,-3878.0146657567893,Financial,-13.659447886278901,Yes,283.907131389426,Yes,Female,By_16:00,0.529720687773079,0.811327151022851,600.45453440398,5.81349046900868,38.0646764533594,4.28,9720.0,14.105780166573801,339.60703458583,3518.2853830659196,41559.4045361479,Maybe,80603.2592537729,18.4284300629715,281.964893367257,62.3392474139109,182.921068671689,60.0,30-45,2.0,541.959229824043,10.0,Foot_or_bicycle,Services_or_Retail,415.844371115706,1.0,Yes
Purples,10.0,815.380382867783,118515.02660743,Environment,271.793460955928,Yes,436.04811606062896,Yes,Male,After_16:00,0.13576611876487701,0.689496815670282,982.283981749788,1.0784130310639701,1.5380121069029,6.962000000000001,,58.4813016001135,376.211870936781,5112.90490247985,47089.9907964282,No,190137.959520023,19.396181864913,162.420271697563,39.810104249045295,74153.4788793574,90.0,30-45,4.0,590.461216067753,11.0,Car,Student_or_Unemployed,416.531441237175,2.0,Yes
Blues,6.0,2140.50301474677,707070.421076841,Education,713.501004915589,No,990.987281315029,No,Male,By_16:00,0.31333386129699603,0.0468433641362935,,8.13955570571125,30.287412996403898,9.152000000000001,4848.0,10.1883258903399,185.807055793703,10281.486924737701,34811.2875863444,No,982055.7917281521,13.631106183787999,687.874542301828,81.67025805450979,,100.0,Below_30,2.0,333.71506400872,13.0,Public_or_other,Student_or_Unemployed,134.77997132577,0.0,No
Khakis,,353.05732652668604,10960.453000718,Education,117.68577550889499,No,93.1332011309177,Yes,Male,After_16:00,0.22052075411193103,0.0867768793832511,298.110085306689,4.26219397224486,16.374489967711302,10.902000000000001,5098.0,52.2973435698077,461.86407259665395,1855.06015650249,43157.037606431004,Yes,8673.79315289197,21.491023070032202,506.31325703042296,52.9102138243616,13977.627532638999,100.0,Below_30,2.0,525.526798047322,16.0,Foot_or_bicycle,Hightech,201.071625194483,0.0,No
Purples,6.0,85.5080852739174,11919.002713671101,Financial,28.5026950913058,No,418.171077348638,Yes,Female,After_16:00,0.22048985655419504,0.660888612270355,318.115558940917,3.0292433593422206,92.27944426238541,0.895,9105.0,20.918271294795,476.10739799310096,,56017.9442847467,Yes,,21.8198853799258,90.2207828361239,64.8259073495865,850.906322559254,60.0,45_and_up,3.0,705.5408122410851,10.0,Public_or_other,Hightech,470.454092624859,0.0,No
Blues,7.0,1369.13052421752,272888.340243398,Education,456.37684140584196,Yes,597.9451967868949,No,Male,After_16:00,0.7285433115903291,0.34419861296191806,169.59132114425302,1.66831086622551,6.05681408196688,4.046,9954.0,33.854202297516196,612.110089045018,7203.672145958991,70460.75923414901,Maybe,357538.45836051897,24.7408586965978,149.05900257764,60.7996198581532,208746.198212978,100.0,,1.0,856.9302034098649,15.0,Car,Industry_or_other,492.47320718132005,0.0,No
Whites,10.0,332.478824451238,58852.525014739505,,110.826274817079,No,531.0340450572451,No,Male,After_16:00,0.0419474442023784,0.38676879298873207,877.9621403664349,5.02491666004062,6.66357737500221,5.761,4239.0,22.119651804678103,420.98271070244203,6152.30587197734,53532.2002686275,No,281997.157009861,20.5178632099554,89.80855706432459,39.559649256989395,12403.2894646478,60.0,30-45,2.0,667.335771234857,6.0,Motorcycle_or_truck,Hightech,470.695854193869,3.0,Yes
Purples,6.0,275.137717967202,40884.100064429396,Healthcare,91.71257265573401,Yes,445.785118447152,Yes,Male,After_16:00,0.178480031667277,0.984839308541268,345.14032700099096,5.7058968557976195,21.4320899453014,1.037,8963.0,89.4623623928055,349.630730089558,5157.11264465064,46433.63660150809,No,198724.37182894102,,162.066481402485,56.771257007494604,8512.908555789008,80.0,45_and_up,0.0,595.8729337240529,11.0,,Industry_or_other,473.253529597471,0.0,No
Reds,9.0,220.456683118724,34202.2746779837,Foreign_Affairs,73.48556103957459,No,465.428503152674,Yes,Male,After_16:00,0.5121024628169829,0.731316763209179,983.283051755279,4.915854581631719,95.87949942797421,4.436,7564.0,28.489634487777902,477.851980367777,5609.98899226229,58684.882425562304,No,216623.691546939,21.859825716775,61.21951121821999,87.3047389788553,5483.61324234063,40.0,Below_30,1.0,749.314837918978,9.0,Car,Industry_or_other,545.410410545422,0.0,Yes
Violets,1.0,235.599871137936,75100.4881699138,Education,78.53329037931191,Yes,956.288572746438,No,Male,By_16:00,0.5065053484868259,0.916712645674124,752.6965949218719,1.3805349636822901,59.552551736123895,9.496,6504.0,40.024400409311106,977.6842575295731,11518.2542425235,114336.861505644,No,914487.83436542,31.267942969270802,754.0973702408529,64.2516595311463,6256.01098818063,,45_and_up,2.0,1407.3971926727402,13.0,Public_or_other,Industry_or_other,863.7050072429699,0.0,No
Blues,2.0,1112.33152224252,,Healthcare,370.777174080841,Yes,887.530163628981,No,Male,By_16:00,0.821014898363501,0.0178711235057563,,6.21602218598127,3.21304681710899,8.825,5175.0,24.7917840257287,113.888850668445,9103.079337626701,30225.743861170497,Maybe,787709.791351285,10.6718719383455,596.567308997708,84.11183066200459,137856.489993455,80.0,45_and_up,3.0,322.26652600802504,12.0,Public_or_other,Services_or_Retail,262.027088087052,1.0,Yes
Violets,3.0,284.189335725367,82650.7710326479,Environment,94.72977857512251,No,872.4898577389191,,Female,By_16:00,0.426131147891283,0.278260305523872,963.4214332327251,9.33665617834777,46.391056943684795,11.3,4700.0,12.161271227523699,956.325901398866,10637.5503801869,111017.55278788801,Yes,761238.551857279,30.924519420661397,688.072889260282,88.09170962776992,9078.46072746685,90.0,30-45,3.0,1375.74997299847,11.0,Foot_or_bicycle,Industry_or_other,855.615351931192,2.0,No
Yellows,7.0,960.2701640988589,95699.75173453221,Healthcare,320.09005469962,No,298.977585618332,Yes,Male,After_16:00,0.15042792866006502,0.0786002541426569,878.582296427339,1.8311426718719301,62.84674890339371,7.14,6860.0,48.1402123346925,579.401258101342,4148.57837238601,59730.9037395933,,89387.59670216721,24.070755245761198,257.134287372528,88.58974580653009,102787.733172305,80.0,45_and_up,2.0,731.71071989596,14.0,Car,Hightech,360.703658085839,0.0,No
Violets,3.0,730.954198550378,3804.0682995009297,Social,243.651399516793,No,15.612749637577,Yes,Male,After_16:00,0.284835611470044,0.471644389908761,320.810197852552,5.644761945586651,45.7650664960966,10.962,5038.0,79.64032017625871,163.40197275467898,482.93144188512804,17126.8336651281,Yes,243.75795124566002,12.782878109200599,678.469997455902,29.0193146560341,59619.6558860086,70.0,30-45,2.0,230.998248288946,13.0,Foot_or_bicycle,Industry_or_other,164.750395691954,0.0,No
Reds,10.0,159.159263126879,29322.8976515194,Other,53.0530877089595,Yes,552.708596573681,No,Female,By_16:00,0.6094471144024279,0.883107936475426,117.019016994163,0.7239144248887901,61.01027468685061,5.528,6472.0,62.16276597697289,379.354188282902,6285.79434230261,53285.587207712,No,305486.792726448,19.4770169246448,158.776040389489,14.0223680296913,2877.68320316351,50.0,45_and_up,0.0,691.0636726625729,8.0,Motorcycle_or_truck,Hightech,588.7480871011879,0.0,Yes
Purples,4.0,350.338534554289,47022.4966290116,Education,116.77951151809602,Yes,402.660501125019,Yes,,After_16:00,0.777316470397636,0.7464972885791209,831.9742211606351,4.67959670349956,83.3524826681241,1.224,8776.0,76.1441036826,402.823033621698,4832.25107849359,50495.778600341204,No,162135.479166252,20.0704517543004,137.582910414685,33.3945487393066,13764.2338219233,100.0,45_and_up,1.0,651.1699845346401,15.0,Car,Public_Sector,496.72640832522,1.0,Yes
Greens,1.0,1009.28919282746,91782.2896620716,Social,336.42973094248697,Yes,272.812659585552,Yes,Male,By_16:00,0.559852596605197,0.9450867408886551,682.718625525013,,50.3853917820379,2.667,7333.0,30.778286349959696,515.812702960977,3759.75200177748,61000.851524764905,,74426.7472301425,22.711510362830897,276.290143707502,44.9127689702436,113531.393592977,70.0,45_and_up,2.0,819.730526339355,12.0,Car,Hightech,656.435655431842,2.0,No
Khakis,6.0,161.69159629389299,35806.5089820513,Financial,53.8971987646311,Yes,,No,Male,After_16:00,0.339211353799328,0.5070400077383971,57.5578021816909,3.9146410790272097,60.0011085625738,10.905,5095.0,98.105570813641,500.76440465636597,7645.011179967691,69116.5663795513,No,441358.58009203203,22.377765854891898,318.001460526511,28.632124094292497,2968.80523343878,60.0,Below_30,4.0,903.2422221783349,8.0,Car,Public_Sector,772.238868562112,0.0,No
Greens,1.0,869.2732841488499,88954.970196858,Education,289.75776138295,Yes,306.99771344275797,Yes,Female,By_16:00,0.105222926009446,0.595251904102042,12.676496990025,3.5508942627348,44.88632450811561,3.779,6221.0,83.8447249494493,515.274927621169,4100.52698966992,,Maybe,94247.5960590818,22.6996680068491,241.28311264253202,92.3389203147963,84259.3180430416,100.0,45_and_up,1.0,816.444314506913,14.0,Motorcycle_or_truck,Services_or_Retail,643.994216607171,0.0,Yes
Oranges,5.0,109.157791362291,13018.9703480644,Military,36.3859304540971,Yes,357.802320446046,Yes,Male,By_16:00,0.517507821088657,0.00226978794671595,702.575749950483,6.00995045853779,29.9623153405264,8.071,3929.0,79.1650485014543,378.680565385549,4335.38433523156,49379.604888260306,Yes,128022.500516575,19.4597164775222,198.005549735542,85.42467511724679,1370.32186546449,30.0,30-45,2.0,659.256223714068,6.0,Public_or_other,Industry_or_other,565.3269656449389,1.0,No
Pinks,2.0,,221393.06006830002,Education,315.551085802943,Yes,701.607663636931,No,Female,After_16:00,0.791772302705795,0.293020294513553,246.01671774871602,7.80811965465546,41.0178000573069,5.644,4356.0,53.7755643948913,657.852590380783,8331.78181713088,75985.8792527171,No,492253.31367407297,25.6486372031885,256.070816115498,30.1742520416155,99898.03883721949,100.0,30-45,2.0,910.713787715674,11.0,Foot_or_bicycle,Public_Sector,496.971380018552,1.0,Yes
Browns,4.0,437.583265369721,74292.8058936905,Environment,145.861088456574,Yes,509.339445357349,No,Female,After_16:00,0.4883702967781571,0.557013496058062,323.36014648899396,6.22054360341281,88.23372460901741,3.66,6340.0,12.6652331789955,468.711529097873,6030.81751176924,57268.4282508458,Maybe,259426.670596932,21.6497466289533,36.7382389653261,75.57647610083221,21431.318214193,90.0,30-45,3.0,714.355524026886,9.0,Motorcycle_or_truck,Industry_or_other,483.16240660613096,1.0,Yes
Reds,6.0,112.578972510315,18236.4944337548,Foreign_Affairs,37.5263241701049,No,485.96538129047,Yes,Female,After_16:00,,0.177279437659308,603.98236871697,0.196540013421327,49.88419590517879,,5086.0,74.4835740420967,460.39235162372904,5780.43851615216,57740.179438086394,Yes,236162.35181279198,21.456755384347602,65.2254340755249,5.830892594531179,1455.75132988991,40.0,45_and_up,2.0,737.892694291492,6.0,Foot_or_bicycle,Student_or_Unemployed,549.886079402178,2.0,No
Khakis,7.0,271.35463346175,86206.878357037,Financial,90.4515444872499,Yes,953.072485889821,No,Male,By_16:00,0.29356786701828197,0.6614655849989499,634.50999581255,4.36940864659846,46.1536526214331,12.248,3752.0,82.0916487136856,916.707645985298,11364.1401508688,111231.54834852401,Maybe,908347.163360202,30.2771802845856,758.493022995562,41.200576163828394,8281.9334446162,60.0,30-45,2.0,1391.9246606186498,10.0,Foot_or_bicycle,Public_Sector,943.161061285799,0.0,No
Khakis,6.0,174.46609135171698,3482.3281991861,Environment,58.1553637839056,Yes,59.8797423420096,Yes,Female,By_16:00,0.553934926399961,0.5432021010201421,600.779773667455,8.069149488583209,22.905780747532802,8.122,7878.0,93.65293467417361,132.319160737097,863.43574489429,14248.7430877431,Yes,3585.58354294546,11.5030065955426,690.7325944382021,85.589584405534,3450.20170062231,90.0,Below_30,1.0,182.580753875005,11.0,Foot_or_bicycle,Services_or_Retail,115.011069954834,0.0,No
Khakis,4.0,88.24533425789811,95.0067501532182,Healthcare,29.415111419299397,No,3.22986198484646,Yes,Male,By_16:00,0.6523145423270761,0.35038355924189096,67.0471808407456,9.897836225572972,53.119787434116,9.703,6297.0,10.466483607888199,52.233911119401505,136.76644208726802,4857.19048687582,No,10.4320084411563,7.227303170574861,819.0838479442999,77.6927805040032,904.6638912290961,80.0,45_and_up,2.0,60.8893745446702,13.0,Car,Hightech,27.1117366774485,0.0,Yes
Purples,10.0,796.111690094617,135718.13436426,Financial,265.370563364872,Yes,511.428745688171,No,Female,After_16:00,0.813092969590798,0.0671352832578123,764.346037991345,4.74259918089956,40.71911624632779,0.7170000000000011,9283.0,8.81234568078071,392.745368935754,5899.77819475321,51302.3084821895,Maybe,261559.361916176,,108.70937007879299,49.935039691627,70696.9064639547,60.0,Below_30,3.0,647.839582494262,11.0,Foot_or_bicycle,Hightech,486.451751766533,0.0,Yes
Purples,2.0,197.05138004541698,27342.653048116,Healthcare,65.68379334847221,Yes,416.2770092015701,Yes,Male,By_16:00,0.9355417951010171,0.9523097304627299,609.473598655313,9.02094234479591,16.7684732936323,1.2670000000000001,8733.0,2.37294523976743,372.055742413086,4906.88157684187,48148.2604185054,Maybe,173286.548389804,19.2887465225993,153.132684974315,3.1430127331987,4390.04450199327,80.0,30-45,1.0,622.284214070888,12.0,Motorcycle_or_truck,Services_or_Retail,491.61268995790704,0.0,No
Whites,5.0,425.509450766393,42927.4246856908,Financial,141.83648358879802,Yes,302.654321367294,Yes,Male,By_16:00,0.833010592963547,0.502608175622299,783.6987602058799,6.57469242811203,4.2028425494208905,6.202000000000001,3798.0,71.02207071147859,334.961066242738,3696.46534615841,44564.4684356154,Maybe,91599.63824229711,18.3019415976212,261.848925448139,77.3565102135763,20269.424560424,60.0,30-45,2.0,606.131688993288,7.0,Foot_or_bicycle,Student_or_Unemployed,548.80259447619,1.0,Yes
Browns,7.0,231.802551782708,37392.7266245142,Environment,77.26751726090271,No,483.93850288023805,Yes,Female,After_16:00,0.501455024117604,0.937900956254452,589.307895861566,7.93159798486158,27.534958627075,1.2830000000000001,8717.0,93.559896829538,384.930389442616,5609.24580768761,48392.240280082195,Maybe,234196.47456996603,19.6196429489075,148.55462637047,39.286325220018604,6057.536740924809,90.0,Below_30,1.0,598.5454306930931,9.0,Motorcycle_or_truck,Hightech,407.428459813431,0.0,No
Khakis,6.0,442.90193633758105,,Environment,147.633978779194,Yes,141.123474396677,Yes,Male,By_16:00,0.338578845374286,0.5059330661315471,378.603274701163,4.0673266001977,65.5051433481276,11.414000000000001,4586.0,26.078766956925396,423.251368454657,2257.7374808760896,44829.79249785231,Yes,19915.835025789598,20.5730738698586,388.464656510414,99.7618901077658,21953.4256689546,90.0,45_and_up,2.0,581.355621586603,11.0,Motorcycle_or_truck,Student_or_Unemployed,372.634085075486,1.0,No
Whites,10.0,616.4055904161701,92907.17716616891,Social,205.468530138723,No,452.172296669675,Yes,Female,After_16:00,0.9997673763427879,0.43373773014172895,930.794538697228,5.79811565112323,1.7062067752704,4.989,5011.0,55.970582203008206,438.049411688818,5397.821790074389,54089.232097241904,Maybe,204459.785875529,20.929629994073398,78.5066498234062,32.1459714556113,42432.7854075062,70.0,30-45,1.0,686.382354942381,7.0,Public_or_other,Hightech,,0.0,Yes
Reds,7.0,71.5156902434821,13541.760899306499,Other,23.838563414494,No,568.061114415687,No,Male,After_16:00,0.579920562449843,0.673339769244194,15.8779472112656,3.88207705225796,79.8688611248508,3.188,8812.0,47.942476719617794,383.708442611388,6448.0280293796495,53004.2999994383,Maybe,322693.429711192,19.5884772918006,143.73095890705602,92.3178352648392,602.1156690813481,50.0,30-45,1.0,677.156441214874,7.0,Car,Industry_or_other,550.025462846112,0.0,No
